date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:56	821/821	---MCZ	200	added ('OK')	application/javascript	etag:W/%224371e7a32ce766e016a8040689d9824a%22	https://resources.agentimage.com/libraries/js/aios-split-nav.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/aios-split-nav.min.js	(from https://ap-havana.agentimage.com/)
18:28:56	735/735	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263031c91-6ca%22	https://ap-havana.agentimage.com/wp-content/plugins/aios-initial-setup/app/modules/contact-form-7-fix-date-field//js/contact-form7-normalize-date-field.js?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/aios-initial-setup/app/modules/contact-form-7-fix-date-field/js/contact-form7-normalize-date-field8217.js	(from https://ap-havana.agentimage.com/)
18:28:56	145312/145312	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed0-237a0%22	https://cdnjs.cloudflare.com/ajax/libs/leaflet/1.0.3/leaflet.js?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/cdnjs.cloudflare.com/ajax/libs/leaflet/1.0.3/leaflet8217.js	(from https://ap-havana.agentimage.com/)
18:28:58	9841/9841	---MCZ	200	added ('OK')	application/javascript	etag:W/%2281124ef716f58aa79dc71683a1aa655d%22	https://cdn.maptiler.com/mapbox-gl-leaflet/latest/leaflet-mapbox-gl.js?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/cdn.maptiler.com/mapbox-gl-leaflet/latest/leaflet-mapbox-gl8217.js	(from https://ap-havana.agentimage.com/)
18:28:58	671163/671163	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d787e1b316c51876cb615215aa2e2a5%22	https://cdn.maptiler.com/mapbox-gl-js/v0.53.0/mapbox-gl.js?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/cdn.maptiler.com/mapbox-gl-js/v0.53.0/mapbox-gl8217.js	(from https://ap-havana.agentimage.com/)
18:28:59	7297/7297	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263031c91-2247%22	https://ap-havana.agentimage.com/wp-content/plugins/AIOS_Listings/lib/html/autoload/listing-templates/bordeaux-tabled/js/script.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/AIOS_Listings/lib/html/autoload/listing-templates/bordeaux-tabled/js/script.js	(from https://ap-havana.agentimage.com/)
18:28:59	1374/1374	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263031c91-c97%22	https://ap-havana.agentimage.com/wp-content/plugins/AIOS_Listings/lib/html/autoload/listing-templates/bordeaux-tabled/js/jquery.aios-listings-chain-height.js?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/AIOS_Listings/lib/html/autoload/listing-templates/bordeaux-tabled/js/jquery.aios-listings-chain-height8217.js	(from https://ap-havana.agentimage.com/)
18:28:59	1566/1566	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c6a69df06c3d1a5a6a0609b3305e08fb%22	https://resources.agentimage.com/libraries/js/global.min.js?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/global.min8217.js	(from https://ap-havana.agentimage.com/)
18:29:00	2223/2223	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263031c91-b6c%22	https://ap-havana.agentimage.com/wp-content/themes/agentpro-havana/js/scripts.js?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/themes/agentpro-havana/js/scripts8217.js	(from https://ap-havana.agentimage.com/)
18:29:00	944/944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263031c91-976%22	https://ap-havana.agentimage.com/wp-content/themes/agentpro-havana/install/virtual-page/js/virtual-page.js?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/themes/agentpro-havana/install/virtual-page/js/virtual-page8217.js	(from https://ap-havana.agentimage.com/)
